userId,movieId,tag,timestamp
474,5450,sisterhood,1138039255
474,5450,women,1138039255
474,5451,disability,1137375287
474,5451,mental illness,1137375287
474,5470,Oscar Wilde,1137181530
474,5475,In Netflix queue,1137201978
474,5483,movie business,1137181538
474,5498,In Netflix queue,1137179781
474,5502,aliens,1137206065
474,5505,adultery,1137205854
474,5505,younger men,1137205854
474,5527,AS Byatt,1138039372
474,5527,books,1138039372
474,5528,photography,1138039335
474,5528,psychopaths,1138039335
474,5548,homeless,1137374645
474,5577,adolescence,1138039226
474,5601,Animal movie,1138039452
474,5603,crime,1138039241
474,5603,heist,1138039241
474,5618,anime,1137206076
474,5629,Bible,1137374683
474,5630,Hannibal Lecter,1139059884
474,5633,bombs,1138039202
474,5644,baseball,1138039381
474,5644,Lou Gehrig,1138039381
474,5669,violence in america,1138039133
474,5673,pudding,1137206033
474,5682,Holocaust,1138039189
474,5685,Girl Power,1137206048
474,5690,made me cry,1137205866
474,5690,orphans,1137205866
474,5721,In Netflix queue,1137200976
474,5721,Judaism,1137200976
474,5747,World War I,1137181512
474,5791,art,1138039181
474,5792,dating,1137375296
474,5802,teenagers,1138039442
474,5812,salute to Douglas Sirk,1137181505
474,5816,Magic,1137205882
474,5816,Wizards,1137205882
474,5820,music business,1138039419
474,5875,short films,1137375257
474,5876,Graham Greene,1138039395
474,5878,coma,1138039423
474,5899,Africa,1137442538
474,5952,Tolkein,1137181130
474,5954,crime,1138039070
474,5954,nightclub,1138039070
474,5971,anime,1138039281
474,5989,crime,1138039137
474,5991,court,1138039145
474,5991,jazz,1138039140
474,5991,murder,1138039142
474,5994,Dickens,1138039286
474,5995,Holocaust,1137181562
474,6002,drugs,1138307168
474,6002,planes,1138307168
474,6002,widows/widowers,1138307168
474,6003,television,1138307058
474,6016,crime,1138039157
474,6016,photography,1138039157
474,6016,violence,1138039157
474,6020,class,1138307024
474,6027,In Netflix queue,1137200848
474,6031,motherhood,1138039234
474,6031,race,1138039234
474,6041,In Netflix queue,1137200888
474,6063,doll,1137375194
474,6090,ghosts,1138307131
474,6101,Chile,1137900975
474,6101,politics,1137900975
474,6101,South America,1137900975
474,6104,spoof,1138039279
474,6156,England,1138307301
474,6159,adolescence,1138307031
474,6163,obsession,1137205905
474,6170,horses,1138307048
474,6178,blind,1138039358
474,6178,blindness,1138039358
474,6178,race,1138039358
474,6181,Civil War,1138039404
474,6181,Stephen Crane,1138039404
474,6183,Day and Hudson,1138039366
474,6183,sexuality,1138039366
474,6195,books,1138498655
474,6195,Stones of Summer,1138498655
474,6197,mental illness,1138307351
474,6201,England,1137191244
474,6216,World War II,1138307229
474,6218,soccer,1138039102
474,6228,In Netflix queue,1137201613
474,6232,animal movie,1138039126
474,6232,lions,1138039125
474,6235,Holocaust,1138307079
474,6235,World War II,1138307079
474,6238,immigrants,1138307096
474,6242,television,1138307280
474,6244,In Netflix queue,1137201921
474,6245,prostitution,1138307361
474,6254,screwball,1137181469
474,6268,adolescence,1138307261
474,6269,Big Brothers,1137206096
474,6273,L.A.,1137521025
474,6281,crime,1138307249
474,6286,amnesia,1138039259
474,6288,gangs,1138307044
474,6289,Titanic,1138307085
474,6291,prostitution,1138039248
474,6296,mockumentary,1138039267
474,6297,children,1138307101
474,6299,birds,1138307384
474,6305,Ray Bradbury,1137181490
474,6308,lawyers,1137374834
474,6327,1970s,1138486479
474,6327,movies,1137200584
474,6331,spelling bee,1138039807
474,6333,Jean Grey,1137202706
474,6333,Magneto,1137202706
474,6333,Rogue,1137202706
474,6333,superhero,1137205082
474,6333,Wolverine,1137202706
474,6334,teachers,1138039540
474,6337,gambling,1138307244
474,6339,trains,1138307176
474,6341,art,1138307304
474,6350,anime,1138039543
474,6367,retro,1138039562
474,6368,movies,1138307051
474,6373,religion,1137375076
474,6375,In Netflix queue,1137200486
474,6375,They Might Be Giants,1137200486
474,6377,Disney,1138039593
474,6377,fish,1138039593
474,6378,heist,1138307128
474,6380,child abuse,1137205738
474,6385,Girl Power,1137202810
474,6390,Ninotchka remake,1138307320
474,6400,crime,1138307197
474,6407,Olympics,1137374882
474,6407,Tokyo,1137374882
474,6422,Civil War,1138039799
474,6440,movie business,1138307037
474,6452,In Netflix queue,1137201737
474,6454,Nazis,1138307204
474,6466,In Netflix queue,1137202027
474,6502,zombies,1137181462
474,6515,fugitive,1137206135
474,6516,In Netflix queue,1137202127
474,6535,politics,1137374839
474,6536,swashbuckler,1138307326
474,6539,swashbuckler,1138307257
474,6545,Dodie Smith,1137181524
474,6547,flood,1137375241
474,6552,immigration,1138039559
474,6565,horses,1138307288
474,6579,Japan,1138307236
474,6591,religion,1138039719
474,6592,marriage,1138039795
474,6603,Othello,1137375103
474,6609,Bible,1138307089
474,6620,cancer,1137205715
474,6636,road trip,1138307356
474,6639,blindness,1138307381
474,6650,family,1138039708
474,6650,multiple roles,1138039708
474,6650,murder,1138039708
474,6660,ballet,1138307265
474,6662,Clousseau,1137375266
474,6667,FBI,1138307378
474,6668,In Netflix queue,1137179689
474,6669,terminal illness,1138039639
474,6708,con men,1138307183
474,6708,fatherhood,1138307183
474,6710,vertriloquism,1138307069
474,6711,Japan,1138307143
474,6713,In Netflix queue,1137201914
474,6724,In Netflix queue,1137201684
474,6732,matchmaker,1137375130
474,6744,vampire,1137375236
474,6753,Animal movie,1138307295
474,6768,religion,1138039714
474,6770,adultery,1138307212
474,6770,terminal illness,1138307212
474,6773,biking,1138307369
474,6776,India,1137181544
474,6785,Lonesome Polecat,1137206059
474,6786,In Netflix queue,1137201845
474,6787,journalism,1138039529
474,6787,Watergate,1138039529
474,6788,pregnancy,1137374818
474,6791,Food,1137191312
474,6807,british comedy,1138307193
474,6810,domestic violence,1138307335
474,6820,werewolf,1138039608
474,6832,amnesia,1138307274
474,6849,Christmas,1137374871
474,6852,black and white,1138307125
474,6852,Capote,1138307125
474,6852,crime,1138307125
474,6852,death penalty,1138307125
474,6852,murder,1138307125
474,6856,biopic,1138039917
474,6863,school,1138307284
474,6867,trains,1138039811
474,6870,child abuse,1138307224
474,6870,kidnapping,1138307224
474,6874,martial arts,1138039672
474,6874,revenge,1138039672
474,6881,Thanksgiving,1137181567
474,6890,adolescence,1138039574
474,6890,violence in america,1138039574
474,6909,transplants,1138039587
474,6912,Rita Hayworth can dance!,1137179371
474,6918,India,1138039870
474,6932,journalism,1137181582
474,6936,christmas,1138039581
474,6944,remake,1137374824
474,6944,wedding,1137374824
474,6948,music business,1138039867
474,6948,rap,1138039867
474,6963,Amish,1137181478
474,6970,Hepburn and Tracy,1137521576
474,6979,Cold War,1138039874
474,6981,religion,1138039909
474,6984,Dickens,1138039822
474,6985,saint,1137206024
474,6993,family,1138039618
474,7013,good and evil,1137206020
474,7018,court,1137375276
474,7018,Scott Turow,1137375276
474,7023,In Netflix queue,1137179697
474,7025,In Netflix queue,1137179593
474,7049,Astaire and Rogers,1137784580
474,7050,Astaire and Rogers,1137784592
474,7053,Astaire and Rogers,1138039791
474,7055,Astaire and Rogers,1138039819
474,7059,horses,1138039728
474,7061,terminal illness,1138039554
474,7062,birds,1138039535
474,7062,prison,1138039535
474,7069,In Netflix queue,1137201628
474,7069,Shakespeare,1137201628
474,7070,cattle drive,1138039780
474,7071,In Netflix queue,1137201154
474,7073,Clousseau,1137375451
474,7079,disability,1137375406
474,7086,George Bernard Shaw,1137201703
474,7087,E.M. Forster,1138039751
474,7088,In Netflix queue,1137202031
474,7090,martial arts,1138039622
474,7091,Marx brothers,1138559500
474,7121,Hepburn and Tracy,1137181204
474,7132,Marx brothers,1138039735
474,7132,opera,1138039735
474,7139,immigrants,1138039653
474,7141,In Netflix queue,1137201569
474,7153,Tolkein,1137181217
474,7156,Vietnam,1138039601
474,7158,real estate,1137205933
474,7160,serial killer,1138039725
474,7162,Civil War,1138039548
474,7190,Charlotte Bronte,1140047502
474,7212,cross dressing,1138039664
474,7212,men in drag,1138039664
474,7217,amnesia,1137521621
474,7218,In Netflix queue,1137179905
