salesorderid,orderqty,salesorderdetailid,unitprice,specialofferid,modifieddate,rowguid,productid,unitpricediscount
43659,1,1,2024.994,1,2011-05-31 00:00:00,b207c96d-d9e6-402b-8470-2cc176c42283,776,0
43659,3,2,2024.994,1,2011-05-31 00:00:00,7abb600d-1e77-41be-9fe5-b9142cfc08fa,777,0
43659,1,3,2024.994,1,2011-05-31 00:00:00,475cf8c6-49f6-486e-b0ad-afc6a50cdd2f,778,0
43659,1,4,2039.994,1,2011-05-31 00:00:00,04c4de91-5815-45d6-8670-f462719fbce3,771,0
43659,1,5,2039.994,1,2011-05-31 00:00:00,5a74c7d2-e641-438e-a7ac-37bf23280301,772,0
43659,2,6,2039.994,1,2011-05-31 00:00:00,ce472532-a4c0-45ba-816e-eefd3fd848b3,773,0
43659,1,7,2039.994,1,2011-05-31 00:00:00,80667840-f962-4ee3-96e0-aeca108e0d4f,774,0
43659,3,8,28.8404,1,2011-05-31 00:00:00,e9d54907-e7b7-4969-80d9-76ba69f8a836,714,0
43659,1,9,28.8404,1,2011-05-31 00:00:00,aa542630-bdcd-4ce5-89a0-c1bf82747725,716,0
43659,6,10,5.7,1,2011-05-31 00:00:00,ac769034-3c2f-495c-a5a7-3b71cdb25d4e,709,0
43659,2,11,5.1865,1,2011-05-31 00:00:00,06a66921-6b9f-4199-a912-ddafd383472b,712,0
43659,4,12,20.1865,1,2011-05-31 00:00:00,0e371ee3-253e-4bb0-b813-83cf4224f972,711,0
43660,1,13,419.4589,1,2011-05-31 00:00:00,419a1302-ac7a-4044-97b2-66d9d14cd02e,762,0
43660,1,14,874.794,1,2011-05-31 00:00:00,5d0b2b03-1d4c-4c34-9696-c14c58e7301c,758,0
43661,1,15,809.76,1,2011-05-31 00:00:00,ede1759e-6733-4c7b-a43f-dc6f48002d8a,745,0
43661,1,16,714.7043,1,2011-05-31 00:00:00,fe10bf09-d477-485b-9541-27ae8053a6d4,743,0
43661,2,17,714.7043,1,2011-05-31 00:00:00,b136852e-24c9-4006-8048-b14aefe6c337,747,0
43661,4,18,5.1865,1,2011-05-31 00:00:00,f0f410b6-bc93-4d77-b70d-e4e2465d98ee,712,0
43661,4,19,28.8404,1,2011-05-31 00:00:00,ae4cda7d-9b6e-4abb-a391-e9e9ddb10125,715,0
43661,2,20,722.5949,1,2011-05-31 00:00:00,054a9d3b-a178-4656-b2b0-9b9bddf1c345,742,0
43661,3,21,2024.994,1,2011-05-31 00:00:00,8c342a15-8576-4581-aac9-7ba3bbd8fd8b,775,0
43661,2,22,2024.994,1,2011-05-31 00:00:00,b2760b75-3f1a-4dc4-a377-1051c03c8eb8,778,0
43661,2,23,20.1865,1,2011-05-31 00:00:00,935a70b5-33ad-473d-921c-8d2c36f0d93e,711,0
43661,2,24,818.7,1,2011-05-31 00:00:00,2f911593-e3b8-4adf-b757-7242004ffb8e,741,0
43661,4,25,2024.994,1,2011-05-31 00:00:00,e8e15b60-3a73-4507-9368-a4fb27b6ee0b,776,0
43661,2,26,2039.994,1,2011-05-31 00:00:00,4373070f-4ebf-4c50-9db0-96bfbe937383,773,0
43661,2,27,28.8404,1,2011-05-31 00:00:00,d87d5edb-b899-4e31-b974-06617dbffe08,716,0
43661,2,28,2024.994,1,2011-05-31 00:00:00,c5762004-de9e-4339-95e5-89cc8fff873e,777,0
43661,5,29,20.1865,1,2011-05-31 00:00:00,6c0d0601-76ff-441d-86d5-8343eb0063e7,708,0
43662,3,30,419.4589,1,2011-05-31 00:00:00,2dfd4d76-e020-4b80-a0a5-6463d0c2df73,764,0
43662,5,31,419.4589,1,2011-05-31 00:00:00,1f1aa6dc-04a2-48e2-af9f-e46d8f59aa55,770,0
43662,2,32,183.9382,1,2011-05-31 00:00:00,5ace6cb5-7341-4d88-9425-56ab7ae512e7,730,0
43662,4,33,874.794,1,2011-05-31 00:00:00,dff2a7f2-37f2-4016-bedf-4dbb8c88b631,754,0
43662,3,34,183.9382,1,2011-05-31 00:00:00,92897ee9-72a6-49e6-a421-c243b531aff2,725,0
43662,5,35,419.4589,1,2011-05-31 00:00:00,1ce18faa-047d-41b1-8cf6-5191c092ab3c,762,0
43662,3,36,419.4589,1,2011-05-31 00:00:00,f833cb4a-d6e3-40ac-b383-1c4e7220afef,765,0
43662,2,37,419.4589,1,2011-05-31 00:00:00,d8e84dbd-a1ed-41e4-a9a1-0ad95fb9b323,768,0
43662,1,38,2146.962,1,2011-05-31 00:00:00,491c561f-6b1e-47d0-95d5-6519654a5f47,753,0
43662,1,39,874.794,1,2011-05-31 00:00:00,2ba4cc58-b832-47c0-aef4-d15d029cc083,756,0
43662,3,40,419.4589,1,2011-05-31 00:00:00,d5c51a6a-6d12-4ceb-aed4-842e78baf142,763,0
43662,1,41,356.898,1,2011-05-31 00:00:00,48420c59-4fbd-4817-a1df-613dce40b18b,732,0
43662,6,42,874.794,1,2011-05-31 00:00:00,2c4f704d-c794-4613-9c8b-258619fa20fa,758,0
43662,1,43,183.9382,1,2011-05-31 00:00:00,e53f432b-3e71-4f41-9ee8-db05a18d98f9,729,0
43662,3,44,178.5808,1,2011-05-31 00:00:00,7c495ef0-4e65-4306-a47f-05f004ce5d4c,722,0
43662,1,45,2146.962,1,2011-05-31 00:00:00,0f38e442-512c-4eb4-85c6-27abfb61e2e2,749,0
43662,3,46,419.4589,1,2011-05-31 00:00:00,260a3fda-9b77-4c6c-b67b-efe84ed56489,760,0
43662,1,47,183.9382,1,2011-05-31 00:00:00,2f0ea518-f085-4b63-a103-342408f6c8a7,726,0
43662,1,48,356.898,1,2011-05-31 00:00:00,7ba3862c-3c4f-4e87-8c47-25b411fa21e6,733,0
43662,1,49,178.5808,1,2011-05-31 00:00:00,13404868-367f-4863-8327-6a45036d53f5,738,0
43662,3,50,419.4589,1,2011-05-31 00:00:00,c88aebde-9041-4a13-a065-a5e95f0ad165,766,0
43662,1,51,874.794,1,2011-05-31 00:00:00,7ac1f435-63ee-4d53-a532-42d7a3a610e5,755,0
43663,1,52,419.4589,1,2011-05-31 00:00:00,ba432515-892b-445d-b9a7-97f593a24687,760,0
43664,1,53,2039.994,1,2011-05-31 00:00:00,22db5fa8-8c63-4a68-a038-435efd6d7ea2,772,0
43664,4,54,2024.994,1,2011-05-31 00:00:00,7ce8e484-a956-42e3-8a8d-f677765d1dad,775,0
43664,1,55,28.8404,1,2011-05-31 00:00:00,076636af-a24f-40d7-aedc-e1564bb16f0e,714,0
43664,1,56,28.8404,1,2011-05-31 00:00:00,c77b6559-1f2b-4f5f-883b-0d66cf71876d,716,0
43664,2,57,2024.994,1,2011-05-31 00:00:00,525334a5-1293-4379-8c59-f3b421faadbb,777,0
43664,3,58,2039.994,1,2011-05-31 00:00:00,cd7e2e99-9bd7-4964-8511-303c9228cd77,771,0
43664,1,59,2039.994,1,2011-05-31 00:00:00,58bfd62d-5822-4c0e-ae02-b35ad7159d6e,773,0
43664,1,60,2024.994,1,2011-05-31 00:00:00,0a8bdf35-3273-4ce0-9a62-f07118147b9e,778,0
43665,2,61,20.1865,1,2011-05-31 00:00:00,d74427b2-27e3-4749-b6e0-422ff21d3996,711,0
43665,1,62,2039.994,1,2011-05-31 00:00:00,10755c28-85c8-4db1-b733-e2bd718210ae,773,0
43665,1,63,20.1865,1,2011-05-31 00:00:00,e4a00fc2-6eda-40d7-afb4-b6b4c5b3edee,707,0
43665,2,64,28.8404,1,2011-05-31 00:00:00,3cfb91f3-98ab-46d1-8024-de47b3c4dae2,715,0
43665,2,65,2024.994,1,2011-05-31 00:00:00,268c5514-a052-4d7b-a62a-dfb9f3f8db5e,777,0
43665,2,66,5.1865,1,2011-05-31 00:00:00,9342c497-f31c-4e3e-b390-189a7e7f5b0d,712,0
43665,2,67,2024.994,1,2011-05-31 00:00:00,92f2e542-be52-42e9-94a8-f248bdaa0693,775,0
43665,1,68,2024.994,1,2011-05-31 00:00:00,7440e859-39e1-4343-9096-c91782d496dc,778,0
43665,6,69,5.7,1,2011-05-31 00:00:00,4a399178-c0a0-447e-9973-6ab903b4aecd,709,0
43665,1,70,2024.994,1,2011-05-31 00:00:00,0d2a679c-6c8e-4cc2-8a55-b8db83937ac2,776,0
43666,1,71,419.4589,1,2011-05-31 00:00:00,0a256c7d-f7e7-408a-85b5-4e78b5b0b3b9,764,0
43666,1,72,2146.962,1,2011-05-31 00:00:00,64220638-532f-41e5-8b4e-b95640f9627e,753,0
43666,1,73,356.898,1,2011-05-31 00:00:00,e992a08a-a9fd-4947-8ef2-51aae82aa60e,732,0
43666,1,74,874.794,1,2011-05-31 00:00:00,2a447589-1d30-4377-9856-1a28d0d6915e,756,0
43666,2,75,419.4589,1,2011-05-31 00:00:00,f919e665-34ba-4075-aa2e-e699d697454c,768,0
43666,1,76,419.4589,1,2011-05-31 00:00:00,92a93f80-9f8a-4448-8038-ca1f50b6e8dd,766,0
43667,3,77,5.7,1,2011-05-31 00:00:00,a3f2749d-522e-41b3-8c1f-fbde9592d4e0,710,0
43667,1,78,2039.994,1,2011-05-31 00:00:00,359b0751-12c8-4875-82aa-c8250a1cf9a9,773,0
