salesorderid,orderqty,salesorderdetailid,unitprice,specialofferid,modifieddate,rowguid,productid,unitpricediscount
43861,3,661,20.1865,1,2011-07-01 00:00:00,185525ea-3b2a-48d3-b7ae-8b361651190b,708,0
43862,4,662,2039.994,1,2011-07-01 00:00:00,5118b2f1-da14-4841-a8a9-132c34ab49ad,771,0
43862,1,663,818.7,1,2011-07-01 00:00:00,d53932a8-a6c3-48d0-ba64-bf705453e736,741,0
43862,3,664,2024.994,1,2011-07-01 00:00:00,b6966abe-4428-43d9-ae78-b3a21d04991e,777,0
43862,4,665,2039.994,1,2011-07-01 00:00:00,c13f5172-f19f-4c76-a8cc-31d3e4b822e1,773,0
43862,2,666,714.7043,1,2011-07-01 00:00:00,bd179629-f36d-4e78-9912-ab87c5da51e9,747,0
43862,2,667,722.5949,1,2011-07-01 00:00:00,da7bc15a-6b07-402b-9895-9b032f41a425,748,0
43862,2,668,2039.994,1,2011-07-01 00:00:00,d24fd04a-d742-405c-8045-3d64bac16176,774,0
43862,1,669,809.76,1,2011-07-01 00:00:00,3a5555dd-ded3-4e67-8213-2ad353abf600,745,0
43862,4,670,5.7,1,2011-07-01 00:00:00,bd4e738a-9623-46f2-932c-470cff5ded4c,709,0
43863,1,671,874.794,1,2011-07-01 00:00:00,94d11a8c-d1d8-49de-9104-a00cecb66b46,758,0
43863,1,672,5.1865,1,2011-07-01 00:00:00,1d8194cc-a0aa-443e-a7dc-576d4182d24c,712,0
43863,1,673,419.4589,1,2011-07-01 00:00:00,8b7cdafd-6223-4d90-a0cf-277d8a11b4e7,760,0
43863,1,674,419.4589,1,2011-07-01 00:00:00,8e110817-7ec6-4974-a623-fe6f3861d028,762,0
43864,5,675,2039.994,1,2011-07-01 00:00:00,3eeb1e35-c84e-4040-82d7-212479de0cc9,772,0
43864,1,676,714.7043,1,2011-07-01 00:00:00,48ce8942-b03f-485d-8c6c-ddcfa3caaaad,747,0
43864,2,677,818.7,1,2011-07-01 00:00:00,eb1661bc-d734-4d96-9dcd-e4c37851b16f,741,0
43864,2,678,2024.994,1,2011-07-01 00:00:00,503af2b5-1159-461e-b082-ea5dfae2b852,778,0
43864,4,679,2024.994,1,2011-07-01 00:00:00,79e2275c-bd3d-424b-9f66-33d29b4620f6,776,0
43864,1,680,722.5949,1,2011-07-01 00:00:00,a3cb492f-2d50-4514-b59d-b53af95089bd,748,0
43864,2,681,2039.994,1,2011-07-01 00:00:00,d8fd77cb-3cc4-4bd0-b6c0-4d8d2092d5a3,771,0
43864,4,682,2039.994,1,2011-07-01 00:00:00,fe280fed-6fdb-4bb0-91cc-a7ce6bb165a9,773,0
43864,1,683,809.76,1,2011-07-01 00:00:00,0403e635-30f5-4b4e-9268-a263e4e77d5f,745,0
43865,1,684,874.794,1,2011-07-01 00:00:00,e0254748-a28f-456a-aa56-a5458543a962,758,0
43865,2,685,419.4589,1,2011-07-01 00:00:00,94769bf9-340e-47bf-9301-dab0dd811ad6,770,0
43865,1,686,2146.962,1,2011-07-01 00:00:00,42e568cd-bea8-472b-bf58-e47714cec3df,753,0
43865,4,687,419.4589,1,2011-07-01 00:00:00,18a4e619-e556-42b1-9fbe-cbfd59d6892d,760,0
43865,1,688,183.9382,1,2011-07-01 00:00:00,7fbda66e-83ee-41a5-81fd-dd1939e71797,725,0
43865,4,689,183.9382,1,2011-07-01 00:00:00,30785a48-f9ba-4abf-9f50-ab139589e8b3,729,0
43865,1,690,419.4589,1,2011-07-01 00:00:00,2272bca4-4117-4bf3-b360-034ca76b9b0c,762,0
43865,2,691,419.4589,1,2011-07-01 00:00:00,0d163fd1-2aa5-4dce-8177-f496bee028ed,763,0
43865,5,692,28.8404,1,2011-07-01 00:00:00,585f3131-d5aa-4a65-931c-e3ae96dbc33f,715,0
43865,1,693,178.5808,1,2011-07-01 00:00:00,09c9c8f5-8fe9-4221-a7f6-cb427c5d0147,738,0
43865,3,694,5.1865,1,2011-07-01 00:00:00,5ddd4634-3094-4006-9e27-664b4b78ea63,712,0
43865,3,695,419.4589,1,2011-07-01 00:00:00,56696f4a-68ec-4905-a4ac-9fe8f753b1b4,765,0
43865,3,696,419.4589,1,2011-07-01 00:00:00,48e8b3d6-1d09-421a-8cb2-4618bfebd43d,761,0
43865,3,697,874.794,1,2011-07-01 00:00:00,b40856d1-dbca-4847-bbf7-35b810602e10,754,0
43866,1,698,2039.994,1,2011-07-01 00:00:00,405ef680-8519-4fec-af67-2d1ad62b6a40,771,0
43866,1,699,2024.994,1,2011-07-01 00:00:00,305f127b-e9aa-4c0e-8930-7fe7d8775cf7,777,0
43866,2,700,5.7,1,2011-07-01 00:00:00,e0060f98-c124-49f7-843d-dd31e5ec2fdb,709,0
43867,1,701,20.1865,1,2011-07-01 00:00:00,d43fafdc-3d6f-4e88-a31b-2fc3642f92e8,708,0
43867,1,702,2039.994,1,2011-07-01 00:00:00,2e3b322a-f086-497b-8f38-2e567591ce11,774,0
43867,2,703,2024.994,1,2011-07-01 00:00:00,9549d477-e940-4280-9775-9068f065f072,776,0
43867,2,704,28.8404,1,2011-07-01 00:00:00,2ba50c75-c06f-4b26-8931-a9d4584a72ad,715,0
43867,2,705,2039.994,1,2011-07-01 00:00:00,3f2f8771-5f09-4f55-86bc-85eedd9898cd,773,0
43867,2,706,5.7,1,2011-07-01 00:00:00,15ecf902-d946-4580-bcd8-a990f52a8239,709,0
43867,3,707,28.8404,1,2011-07-01 00:00:00,a974621a-f45d-4372-a4dc-540afe24309b,714,0
43867,4,708,2039.994,1,2011-07-01 00:00:00,bb5c59c8-d9d3-4c96-b9ad-1e42cbd24886,771,0
43867,2,709,20.1865,1,2011-07-01 00:00:00,bac61ac5-8463-4bd8-a723-6f785c63e9d2,711,0
